Feature_id	Taxon	Confidence
fd5ddcd14c394d90960465a68cc41fdd	D_0__Eukaryota;D_1__Opisthokonta;D_2__Holozoa;D_3__Metazoa (Animalia);D_9__Eumalacostraca;D_10__Eucarida;D_11__Orconectes virilis	0.788594085
c37fc2f4c672a320173208fda0af3c2a	D_0__Eukaryota;D_1__Archaeplastida;D_2__Chloroplastida;D_3__Charophyta	0.997207321
b4ef5fde963b514211a1349036f2979a	D_0__Eukaryota;D_1__Opisthokonta;D_2__Nucletmycea;D_3__Fungi;D_9__Aspergillaceae;D_10__Aspergillus	0.923621216
580e8b12433fcf14b0362ed23b455c25	D_0__Eukaryota;D_1__Opisthokonta;D_2__Nucletmycea;D_3__Fungi;D_9__Metschnikowiaceae;D_10__Metschnikowia;D_11__uncultured fungus	0.993029027
5e6bc5d76e831a7c12f0bdc423f439d7	D_0__Eukaryota;D_1__Opisthokonta;D_2__Holozoa;D_3__Metazoa (Animalia);D_9__Podocopa;D_10__Podocopida;D_11__invertebrate environmental sample	0.911077846
ee3d82412e9466dd1ac2f492b9b33e22	D_0__Eukaryota;D_1__Incertae Sedis;D_2__Breviatea;D_3__Subulatomonas;D_4__uncultured eukaryote;D_5__uncultured eukaryote;D_6__uncultured eukaryote	0.996424615
579f208edf14ecaba77a52b8573f77a0	D_0__Eukaryota;D_1__Opisthokonta;D_2__Holozoa;D_3__Metazoa (Animalia);D_6__Echinodermata;D_7__Ophiuroidea;D_8__Ophiocanops fugiens	0.992191584
0f1bc304b9cb05af8e3275fd7f8cf9a8	D_0__Eukaryota;D_1__SAR;D_2__Alveolata;D_3__Ciliophora;D_7__Scuticociliatia;D_8__Homalogastra;D_9__Homalogastra setosa	0.999999005
066148245449b8ac0f5d7e4fa88da53b	D_0__Eukaryota;D_1__Opisthokonta;D_2__Nucletmycea;D_3__Fungi;D_9__Cryphonectriaceae;D_10__Cryphonectria-Endothia complex	0.975737382
686dd0779fe88d738e04ebc15053fdd3	D_0__Eukaryota;D_1__Archaeplastida;D_2__Chloroplastida;D_3__Charophyta;D_10__Fagales;D_11__Betula;D_12__Betula pendula (European white birch)	0.99997572
65b949681d4354350a09a489ae54d482	D_0__Eukaryota;D_1__Opisthokonta;D_2__Holozoa;D_3__Metazoa (Animalia);D_7__Hexacorallia;D_8__Actiniaria;D_9__Leiopathes sp. ES-2013	0.786077521
49c87c3675695a5f715f9e3e335576c9	D_0__Eukaryota;D_1__Opisthokonta;D_2__Nucletmycea;D_3__Fungi;D_9__Moniliellaceae;D_10__Moniliella;D_11__Moniliella mellis	0.999999921
9bfca0f7b6f6154b6373d89ea73e89dc	D_0__Eukaryota;D_1__SAR;D_2__Alveolata;D_3__Protalveolata;D_4__Syndiniales;D_5__Syndiniales Group I;D_6__uncultured marine eukaryote	0.852833787
22902bce4b1c5dc7708614c8364132c6	D_0__Eukaryota;D_1__SAR;D_2__Alveolata;D_3__Ciliophora;D_7__Suctoria;D_8__Tokophrya	0.753148262
70c8c5493f74398c97fce91640e579a8	D_0__Eukaryota	1
087e72a2f9ccd53dbc470b99223407d6	D_0__Eukaryota;D_1__SAR;D_2__Alveolata;D_3__Apicomplexa;D_4__Novel Apicomplexa Class 1;D_5__uncultured eukaryote;D_6__uncultured eukaryote	0.999999999
0a14d815712740b017f2b61fcd89b2d5	D_0__Eukaryota;D_1__SAR;D_2__Alveolata;D_3__Dinoflagellata;D_4__Noctilucales;D_5__Noctiluca;D_6__Noctiluca scintillans	0.99999774
e7bca235ade77f556a2cd0a5d84d14df	D_0__Eukaryota;D_1__SAR;D_2__Rhizaria;D_3__Retaria;D_5__Spumellaria;D_6__Cladococcus	0.721141129
782d438bb0ac12abb85a962848178f49	D_0__Eukaryota;D_1__SAR;D_2__Alveolata;D_3__Apicomplexa;D_4__Novel Apicomplexa Class 1;D_5__uncultured eukaryote;D_6__uncultured eukaryote	0.920003898
715b3e3e60bb77ff659178f8cb47a414	D_0__Eukaryota;D_1__SAR;D_2__Alveolata;D_3__Protalveolata;D_4__Syndiniales;D_5__Syndiniales Group I;D_6__uncultured alveolate	0.999999908
755d0cdf5b1fff5778f939d8181ba081	D_0__Eukaryota;D_1__SAR;D_2__Alveolata;D_3__Dinoflagellata;D_6__Kareniaceae;D_7__Karlodinium;D_8__uncultured marine alveolate	0.99456448
67bf2d59409da2a1eb05f8ffe0e5d5a2	D_0__Eukaryota;D_1__SAR;D_2__Alveolata;D_3__Protalveolata;D_4__Syndiniales;D_5__Syndiniales Group I;D_6__uncultured marine eukaryote	0.777695476
cc30a915a402b5f6742faf2a66b782af	D_0__Eukaryota;D_1__Archaeplastida;D_2__Chloroplastida;D_3__Charophyta	0.999995555
